year,Review,Regular,Total,Review %,Regular %
2020,365,5635,6000,6.1,93.9
2021,361,5639,6000,6.0,94.0
2022,383,5617,6000,6.4,93.6
2023,346,5654,6000,5.8,94.2
2024,342,5658,6000,5.7,94.3
2025,303,5374,5677,5.3,94.7
