year,Review,Regular,Total,Review %,Regular %
2020,322,5678,6000,5.4,94.6
2021,310,5690,6000,5.2,94.8
2022,340,5660,6000,5.7,94.3
2023,346,5654,6000,5.8,94.2
2024,357,5643,6000,5.9,94.0
2025,300,5645,5945,5.0,95.0
