year,Review,Regular,Total,Review %,Regular %
2020,632,5368,6000,10.5,89.5
2021,634,5366,6000,10.6,89.4
2022,563,5437,6000,9.4,90.6
2023,569,5431,6000,9.5,90.5
2024,544,5456,6000,9.1,90.9
2025,468,5532,6000,7.8,92.2
