year,Review,Regular,Total,Review %,Regular %
2020,291,2118,2409,12.1,87.9
2021,304,2196,2500,12.2,87.8
2022,295,2226,2521,11.7,88.3
2023,335,2319,2654,12.6,87.4
2024,324,2709,3033,10.7,89.3
2025,312,2996,3308,9.4,90.6
