ai_detected,ai_percentage,category,total_documents,unlikely_ai
2,0.3184713375796179,cs-LG,628,626
2,0.2777777777777778,cs-CV,720,718
1,0.141643059490085,cs-IR,706,705
1,0.1388888888888889,cs-CR,720,719
1,0.1388888888888889,cs-RO,720,719
0,0.0,cs-AI,720,720
0,0.0,cs-CL,720,720
0,0.0,cs-CY,720,720
0,0.0,cs-HC,720,720
0,0.0,cs-SE,720,720
