category,count,year_month
cs-CY,56,2021-10
cs-HC,64,2021-10
cs-IR,41,2021-10
cs-LG,407,2021-10
cs-RO,147,2021-10
cs-SE,78,2021-10
cs-AI,75,2021-11
cs-CL,147,2021-11
cs-CR,100,2021-11
cs-CV,500,2021-11
cs-CY,36,2021-11
cs-HC,42,2021-11
cs-IR,31,2021-11
cs-LG,313,2021-11
cs-RO,109,2021-11
cs-SE,47,2021-11
cs-AI,48,2021-12
cs-CL,225,2021-12
cs-CR,105,2021-12
cs-CV,500,2021-12
cs-CY,33,2021-12
cs-HC,51,2021-12
cs-IR,43,2021-12
cs-LG,322,2021-12
cs-RO,85,2021-12
cs-SE,69,2021-12
cs-AI,60,2022-01
cs-CL,160,2022-01
cs-CR,99,2022-01
cs-CV,406,2022-01
cs-CY,37,2022-01
cs-HC,58,2022-01
cs-IR,39,2022-01
cs-LG,239,2022-01
cs-RO,104,2022-01
cs-SE,74,2022-01
cs-AI,83,2022-02
cs-CL,146,2022-02
cs-CR,98,2022-02
cs-CV,372,2022-02
cs-CY,36,2022-02
cs-HC,65,2022-02
cs-IR,29,2022-02
cs-LG,383,2022-02
cs-RO,142,2022-02
cs-SE,78,2022-02
cs-AI,65,2022-03
cs-CL,320,2022-03
cs-CR,106,2022-03
cs-CV,500,2022-03
cs-CY,25,2022-03
cs-HC,59,2022-03
cs-IR,23,2022-03
cs-LG,272,2022-03
cs-RO,218,2022-03
cs-SE,101,2022-03
cs-AI,66,2022-04
cs-CL,361,2022-04
cs-CR,78,2022-04
cs-CV,500,2022-04
cs-CY,32,2022-04
cs-HC,81,2022-04
cs-IR,74,2022-04
cs-LG,241,2022-04
cs-RO,137,2022-04
cs-SE,110,2022-04
cs-AI,84,2022-05
cs-CL,416,2022-05
cs-CR,112,2022-05
cs-CV,500,2022-05
cs-CY,42,2022-05
cs-HC,58,2022-05
cs-IR,58,2022-05
cs-LG,368,2022-05
cs-RO,145,2022-05
cs-SE,79,2022-05
cs-AI,66,2022-06
cs-CL,202,2022-06
cs-CR,104,2022-06
cs-CV,500,2022-06
cs-CY,47,2022-06
cs-HC,36,2022-06
cs-IR,51,2022-06
cs-LG,425,2022-06
cs-RO,137,2022-06
cs-SE,85,2022-06
cs-AI,71,2022-07
cs-CL,138,2022-07
cs-CR,105,2022-07
cs-CV,500,2022-07
cs-CY,30,2022-07
cs-HC,61,2022-07
cs-IR,34,2022-07
cs-LG,281,2022-07
cs-RO,169,2022-07
cs-SE,78,2022-07
cs-AI,61,2022-08
cs-CL,189,2022-08
cs-CR,132,2022-08
cs-CV,500,2022-08
cs-CY,33,2022-08
cs-HC,94,2022-08
cs-IR,75,2022-08
cs-LG,262,2022-08
cs-RO,133,2022-08
cs-SE,99,2022-08
cs-AI,73,2022-09
cs-CL,266,2022-09
cs-CR,106,2022-09
